Date,Product,Qty Sold
2022-12-17,Product_56,64
2022-12-08,Product_67,43
2008-07-21,Product_29,90
2001-03-03,Product_17,78
2003-01-21,Product_82,62
2001-12-03,Product_94,73
2021-04-09,Product_37,98
2017-12-20,Product_83,45
2016-01-25,Product_65,63
2018-01-22,Product_76,31
2005-03-23,Product_53,62
2000-11-05,Product_47,95
2007-02-10,Product_45,53
2000-02-10,Product_20,29
2007-10-21,Product_53,23
2009-01-04,Product_7,25
2015-01-05,Product_87,89
2003-05-09,Product_81,11
2017-10-16,Product_93,1
2024-05-05,Product_61,38
2006-05-06,Product_49,3
2003-04-12,Product_31,77
2016-01-13,Product_9,85
2004-11-12,Product_38,20
2011-09-20,Product_56,90
2003-12-08,Product_23,37
2018-11-10,Product_57,7
2004-09-16,Product_96,82
2007-10-06,Product_47,40
2008-12-10,Product_46,22
2004-09-18,Product_82,97
2021-06-11,Product_56,72
2018-05-07,Product_15,45
2019-08-02,Product_18,17
2024-04-16,Product_99,100
2012-02-08,Product_13,96
2022-03-04,Product_61,61
2006-07-28,Product_9,2
2010-09-19,Product_92,2
2020-11-20,Product_34,1
2012-12-26,Product_64,93
2010-02-01,Product_58,62
2015-11-20,Product_1,24
2021-05-26,Product_66,55
2003-06-08,Product_25,18
2020-07-25,Product_18,90
2017-12-03,Product_98,91
2002-01-11,Product_74,50
2012-12-11,Product_33,43
2023-04-27,Product_45,1
2015-12-07,Product_39,1
2004-05-05,Product_95,92
2006-07-26,Product_56,17
2006-05-01,Product_34,88
2006-07-17,Product_57,42
2009-05-17,Product_69,68
2010-04-10,Product_68,93
2004-06-13,Product_88,26
2007-11-20,Product_78,95
2008-11-30,Product_84,62
2008-02-11,Product_67,11
2000-06-18,Product_53,34
2015-09-30,Product_7,75
2001-12-03,Product_44,34
2006-11-11,Product_42,78
2017-07-21,Product_26,49
2001-09-14,Product_73,51
2014-01-03,Product_73,56
2012-03-12,Product_30,82
2005-02-28,Product_98,12
2004-02-12,Product_23,49
2009-03-19,Product_12,90
2010-03-07,Product_42,46
2015-12-06,Product_69,16
2013-08-02,Product_67,64
2013-06-23,Product_30,33
2000-10-26,Product_2,56
2016-12-22,Product_25,63
2004-10-22,Product_62,6
2011-02-14,Product_66,24
2008-03-16,Product_51,6
2016-03-15,Product_57,10
2014-01-21,Product_17,38
2013-04-16,Product_39,92
2019-04-01,Product_62,83
2017-11-29,Product_70,54
2004-05-27,Product_33,24
2020-11-27,Product_82,12
2006-01-31,Product_58,78
2013-12-21,Product_17,78
2001-05-15,Product_59,45
2008-05-07,Product_97,3
2002-10-16,Product_30,50
2009-07-17,Product_33,71
2018-12-01,Product_23,24
2015-04-19,Product_8,65
2023-04-12,Product_29,96
2012-10-05,Product_75,35
2003-02-13,Product_50,6
2018-08-18,Product_80,39
2004-11-11,Product_42,14
2004-09-05,Product_72,45
2024-09-21,Product_23,32
2005-06-10,Product_30,82
2024-10-25,Product_59,55
2001-04-10,Product_50,51
2019-09-12,Product_36,58
2009-08-10,Product_92,62
2021-11-18,Product_5,48
2022-03-02,Product_3,60
2018-01-05,Product_98,3
2011-12-27,Product_88,96
2023-08-04,Product_51,6
2002-04-18,Product_12,39
2000-02-13,Product_46,38
2010-06-10,Product_20,75
2013-04-17,Product_6,19
2023-11-17,Product_53,20
2007-03-05,Product_3,13
2020-01-23,Product_56,54
2018-08-11,Product_45,29
2017-05-03,Product_25,40
2005-08-19,Product_56,43
2003-09-01,Product_49,10
2002-04-20,Product_16,96
2008-02-06,Product_26,61
2019-11-03,Product_89,29
2020-02-13,Product_54,50
2008-10-02,Product_88,50
2004-03-30,Product_44,90
2001-02-25,Product_24,3
2004-05-26,Product_42,48
2000-03-11,Product_59,36
2007-12-31,Product_26,58
2018-12-01,Product_42,17
2014-03-29,Product_92,10
2008-04-06,Product_9,64
2005-12-05,Product_37,88
2015-01-27,Product_55,48
2014-04-07,Product_2,42
2013-10-05,Product_16,100
2009-12-18,Product_4,78
2006-03-26,Product_52,4
2006-02-10,Product_54,75
2007-04-16,Product_37,43
2002-10-20,Product_39,86
2022-01-12,Product_78,55
2021-04-16,Product_57,25
2007-06-17,Product_33,81
2005-08-30,Product_74,79
2012-10-13,Product_66,67
2016-07-19,Product_7,61
2023-11-09,Product_28,17
2024-06-24,Product_27,11
2016-12-21,Product_4,18
2022-03-14,Product_84,24
2024-02-03,Product_77,86
2011-02-12,Product_25,90
2005-04-27,Product_29,54
2005-08-12,Product_9,68
2018-12-08,Product_48,83
2024-01-15,Product_36,71
2020-06-04,Product_84,13
2016-10-12,Product_66,2
2023-06-03,Product_52,25
2011-01-12,Product_27,95
2020-06-12,Product_49,31
2016-03-29,Product_25,13
2023-06-25,Product_75,17
2018-07-10,Product_95,32
2000-08-29,Product_54,59
2014-09-12,Product_58,39
2005-06-15,Product_85,50
2006-07-14,Product_33,48
2007-12-09,Product_53,22
2019-05-27,Product_78,19
2018-02-01,Product_64,29
2023-08-10,Product_90,50
2007-12-20,Product_80,33
2003-06-07,Product_58,30
2017-01-10,Product_51,84
2016-03-21,Product_21,9
2008-03-24,Product_15,73
2009-05-17,Product_18,1
2006-07-22,Product_15,37
2020-12-02,Product_94,78
2013-09-25,Product_3,29
2006-11-09,Product_27,29
2017-04-25,Product_92,15
2004-08-19,Product_56,68
2021-04-23,Product_83,23
2006-03-16,Product_67,42
2018-08-19,Product_29,75
2011-10-28,Product_39,12
2007-12-22,Product_34,43
2005-03-04,Product_60,40
2013-06-02,Product_14,7
2022-05-18,Product_43,16
2012-07-22,Product_50,65
2003-06-25,Product_89,83
2021-06-14,Product_58,31
2017-02-19,Product_19,73
2011-08-23,Product_17,45
2008-05-03,Product_25,76
2021-01-06,Product_75,15
2017-03-26,Product_15,14
2023-12-06,Product_2,98
2001-10-18,Product_38,55
2003-12-24,Product_1,80
2023-01-30,Product_68,9
2013-06-08,Product_27,21
2006-11-25,Product_83,9
2002-06-25,Product_42,90
2022-06-23,Product_28,23
2021-10-25,Product_25,23
2017-07-30,Product_77,53
2023-03-29,Product_48,14
2018-10-10,Product_50,7
2021-03-05,Product_79,42
2011-02-15,Product_15,96
2009-07-02,Product_57,50
2018-03-08,Product_34,51
2012-10-06,Product_45,84
2008-04-27,Product_6,45
2002-10-24,Product_70,51
2001-02-27,Product_77,75
2003-04-17,Product_54,38
2000-07-20,Product_67,61
2002-05-07,Product_52,6
2003-07-04,Product_68,14
2017-09-29,Product_47,77
2000-04-18,Product_71,77
2018-01-13,Product_79,55
2004-01-15,Product_41,96
2012-11-28,Product_50,11
2005-05-21,Product_78,56
2002-11-16,Product_91,43
2018-06-26,Product_71,19
2000-08-10,Product_57,23
2022-10-11,Product_52,65
2007-12-26,Product_44,41
2020-05-11,Product_49,2
2014-10-23,Product_86,85
2012-01-22,Product_23,4
2024-02-17,Product_27,46
2023-01-30,Product_97,31
2007-12-31,Product_62,79
2005-09-25,Product_55,27
2006-09-20,Product_12,14
2004-08-09,Product_22,4
2005-10-18,Product_61,75
2022-03-19,Product_17,74
2005-04-07,Product_10,61
2019-08-06,Product_70,52
2022-01-08,Product_64,28
2021-02-06,Product_82,85
2017-05-07,Product_5,45
2018-01-03,Product_88,78
2009-01-10,Product_21,99
2022-06-17,Product_54,42
2016-07-12,Product_79,50
2001-07-06,Product_99,21
2009-07-30,Product_85,16
2006-07-28,Product_62,67
2012-11-26,Product_69,10
2024-01-27,Product_89,72
2001-05-24,Product_50,66
2009-08-03,Product_7,17
2020-06-15,Product_6,25
2016-02-07,Product_68,17
2013-11-13,Product_82,18
2014-02-07,Product_44,28
2007-05-13,Product_6,6
2013-08-29,Product_2,94
2000-04-19,Product_91,91
2001-01-11,Product_57,11
2005-07-28,Product_26,11
2006-09-01,Product_10,68
2011-11-19,Product_98,43
2022-07-11,Product_80,43
2012-12-18,Product_32,9
2010-04-01,Product_16,38
2001-04-16,Product_45,14
2017-10-02,Product_53,95
2003-09-12,Product_12,69
2001-12-25,Product_40,96
2017-09-05,Product_41,25
2013-05-10,Product_29,26
2015-01-06,Product_49,29
2005-12-24,Product_27,40
2002-12-01,Product_100,54
2011-10-28,Product_92,28
2006-03-09,Product_89,80
2005-09-09,Product_78,94
2021-10-20,Product_7,77
2014-03-29,Product_74,14
2024-02-27,Product_59,73
2007-11-21,Product_24,45
2008-10-10,Product_71,100
2006-04-02,Product_19,99
2002-05-03,Product_99,61
2020-02-13,Product_76,47
2001-10-20,Product_66,12
2016-10-01,Product_77,7
2007-08-30,Product_15,96
2013-11-12,Product_35,32
2002-06-18,Product_61,95
2002-03-08,Product_39,71
2006-10-28,Product_50,84
2024-05-26,Product_62,82
2010-02-10,Product_21,1
2006-09-27,Product_39,71
2019-12-16,Product_12,25
2021-10-05,Product_46,35
2005-07-14,Product_83,100
2015-03-27,Product_39,40
2020-05-01,Product_86,50
2014-07-04,Product_73,51
2014-08-01,Product_8,53
2024-07-22,Product_4,100
2021-06-20,Product_33,24
2022-01-12,Product_82,22
2006-12-20,Product_35,84
2019-07-08,Product_19,89
2001-09-07,Product_67,57
2020-04-03,Product_56,47
2005-06-26,Product_8,56
2024-09-03,Product_51,18
2016-12-22,Product_66,27
2000-12-06,Product_92,77
2017-12-08,Product_87,8
2014-09-23,Product_23,1
2021-10-20,Product_29,60
2004-12-07,Product_98,55
