Date,Product,Qty Sold
2023-04-28,Product_55,20
2018-10-21,Product_71,35
2009-04-24,Product_58,95
2007-10-11,Product_73,4
2002-03-20,Product_59,15
2017-03-26,Product_100,97
2022-11-30,Product_13,24
2008-05-20,Product_12,75
2017-10-08,Product_45,56
2000-08-30,Product_18,40
2002-09-05,Product_86,55
2022-06-10,Product_5,73
2005-12-16,Product_88,51
2017-11-01,Product_40,15
2015-05-31,Product_47,79
2008-01-14,Product_18,34
2017-01-05,Product_92,25
2000-09-28,Product_89,73
2003-05-12,Product_98,4
2005-01-13,Product_7,63
2012-02-16,Product_93,61
2023-11-20,Product_58,31
2020-10-06,Product_12,97
2009-06-17,Product_5,36
2003-01-12,Product_96,63
2015-08-09,Product_74,7
2024-03-21,Product_15,8
2015-07-12,Product_81,51
2003-12-23,Product_4,6
2013-08-04,Product_61,41
2024-10-17,Product_10,40
2003-01-25,Product_2,80
2024-06-15,Product_36,61
2002-12-24,Product_87,94
2014-08-12,Product_98,96
2023-04-30,Product_41,94
2019-05-28,Product_7,72
2000-09-11,Product_85,32
2010-08-06,Product_64,5
2013-02-03,Product_10,49
2007-02-19,Product_100,79
2017-05-01,Product_18,7
2013-01-27,Product_11,30
2024-11-30,Product_30,11
2024-05-23,Product_93,60
2005-01-03,Product_79,73
2008-06-26,Product_28,67
2021-12-21,Product_47,20
2019-04-21,Product_69,17
2019-12-06,Product_57,10
2011-01-23,Product_80,27
2021-08-25,Product_67,31
2011-10-16,Product_92,18
2021-08-30,Product_34,42
2024-12-23,Product_44,91
2008-05-14,Product_56,95
2020-08-31,Product_3,80
2024-06-04,Product_33,4
2024-02-29,Product_42,15
2006-03-16,Product_96,15
2008-05-31,Product_31,33
2020-02-17,Product_67,71
2016-11-28,Product_24,2
2010-10-06,Product_19,43
2002-08-06,Product_98,72
2011-03-15,Product_84,9
2012-11-29,Product_74,44
2001-09-02,Product_30,13
2023-08-03,Product_84,2
2002-03-13,Product_98,22
2014-04-25,Product_5,42
2012-06-06,Product_81,58
2016-03-07,Product_96,41
2011-12-10,Product_66,95
2013-12-23,Product_5,78
2009-12-08,Product_7,20
2017-06-03,Product_42,13
2011-09-13,Product_77,70
2023-09-14,Product_54,90
2008-02-04,Product_69,9
2001-10-13,Product_89,19
2023-07-04,Product_5,12
2020-12-01,Product_78,47
2013-08-18,Product_37,13
2020-08-25,Product_52,49
2023-05-30,Product_86,15
2016-11-23,Product_80,75
2006-09-07,Product_34,100
2018-10-20,Product_6,13
2023-06-19,Product_26,66
2023-12-02,Product_72,51
2019-08-23,Product_55,59
2024-11-04,Product_83,39
2022-06-10,Product_15,62
2018-11-29,Product_54,42
2014-05-18,Product_43,28
2024-05-23,Product_1,7
2002-02-01,Product_4,78
2018-06-25,Product_20,45
2002-03-02,Product_31,45
2017-07-05,Product_44,1
2008-12-21,Product_50,39
2009-07-28,Product_21,73
2010-01-16,Product_66,36
2024-01-18,Product_28,83
2017-11-06,Product_56,20
2012-01-09,Product_32,25
2014-02-10,Product_25,53
2004-04-20,Product_89,7
2001-12-22,Product_36,8
2018-09-28,Product_7,5
2000-07-10,Product_20,60
