Date,Product,Qty Sold
2002-09-01,Product_9,85
2003-11-23,Product_35,85
2018-11-23,Product_44,46
2012-12-14,Product_91,33
2009-09-15,Product_100,89
2022-11-24,Product_77,16
2002-02-12,Product_84,59
2008-04-18,Product_41,59
2017-05-21,Product_1,44
2020-12-11,Product_100,51
2020-04-09,Product_7,39
2014-06-06,Product_82,38
2019-05-16,Product_81,26
2010-09-07,Product_85,6
2024-12-21,Product_37,99
2012-06-21,Product_74,58
2012-08-05,Product_81,34
2019-05-07,Product_12,12
2012-07-29,Product_92,80
2024-12-25,Product_1,32
2003-11-20,Product_20,38
2021-12-21,Product_32,57
2006-11-13,Product_65,75
2000-12-16,Product_98,68
2005-02-09,Product_88,88
2018-02-12,Product_75,92
2005-04-16,Product_58,67
2002-04-18,Product_65,33
2013-11-18,Product_38,39
2005-04-28,Product_31,74
2015-12-23,Product_27,91
2000-01-30,Product_65,68
2013-12-08,Product_65,28
2001-08-06,Product_4,86
2008-07-07,Product_91,75
2010-12-10,Product_95,97
2003-11-28,Product_59,31
2001-01-14,Product_18,45
2001-11-29,Product_81,54
2017-12-08,Product_9,72
2018-06-22,Product_67,28
2010-08-29,Product_4,24
2019-07-02,Product_47,65
2010-09-25,Product_53,43
2024-04-27,Product_73,85
2000-07-02,Product_97,98
2008-09-30,Product_73,90
2009-12-30,Product_35,33
2020-08-16,Product_99,32
2010-09-20,Product_24,83
2022-02-25,Product_52,46
2004-06-16,Product_59,62
2022-09-11,Product_85,63
2010-08-13,Product_69,15
2020-02-28,Product_64,49
2011-06-29,Product_84,83
2019-04-23,Product_72,87
2018-09-09,Product_96,57
2007-08-14,Product_95,36
2023-04-04,Product_62,46
2016-10-03,Product_93,85
2003-08-27,Product_70,76
2018-04-22,Product_1,70
2006-01-11,Product_57,77
2005-11-05,Product_77,77
2022-03-13,Product_10,84
2024-11-13,Product_44,52
2010-06-09,Product_68,46
2005-08-05,Product_62,85
2007-11-17,Product_20,9
2009-07-17,Product_9,10
2018-06-06,Product_3,96
2005-04-10,Product_89,33
2018-01-23,Product_15,2
2013-04-06,Product_59,92
2000-11-30,Product_33,32
2021-11-06,Product_90,59
2001-01-26,Product_68,6
2021-10-14,Product_53,100
2018-02-25,Product_58,23
2011-05-03,Product_10,21
2005-04-26,Product_96,12
2003-10-28,Product_12,20
2024-11-05,Product_26,90
2011-06-09,Product_14,75
2001-01-20,Product_27,58
2014-01-17,Product_62,72
2006-09-02,Product_66,82
2020-06-28,Product_18,72
2015-11-29,Product_32,68
2005-03-28,Product_54,41
2003-04-14,Product_7,38
2006-11-11,Product_24,39
2016-02-23,Product_40,5
2021-03-24,Product_86,18
2016-11-08,Product_93,20
2000-08-22,Product_79,64
2009-03-23,Product_62,96
2021-06-04,Product_13,10
2022-07-23,Product_30,98
2023-08-09,Product_6,38
2016-05-02,Product_31,76
2008-12-24,Product_86,8
2024-12-22,Product_28,74
2017-07-25,Product_97,8
2023-06-29,Product_27,91
2011-09-20,Product_56,19
2014-02-03,Product_24,2
2010-08-08,Product_14,41
2015-02-17,Product_18,41
2011-11-12,Product_4,13
2010-04-16,Product_33,23
2017-07-12,Product_41,73
2001-02-05,Product_15,25
2007-10-28,Product_54,4
2011-04-18,Product_95,30
2013-06-20,Product_80,7
2002-02-09,Product_74,78
2000-02-01,Product_76,88
2020-03-22,Product_20,98
2021-08-20,Product_52,13
2016-04-23,Product_65,8
2004-12-25,Product_75,84
2007-03-23,Product_52,84
2006-12-30,Product_55,62
2017-09-27,Product_82,49
2023-04-21,Product_95,18
2023-06-01,Product_81,16
2021-02-25,Product_89,84
2019-02-11,Product_88,80
2020-12-19,Product_88,72
2007-01-02,Product_93,1
2017-03-06,Product_15,100
2019-10-26,Product_83,28
2010-02-12,Product_48,76
2010-02-15,Product_12,28
2010-01-22,Product_54,64
2020-08-14,Product_44,85
2004-06-28,Product_14,73
2024-09-10,Product_52,84
2013-05-14,Product_93,52
