Date,Product,Qty Sold
2010-02-18,Product_77,78
2008-03-02,Product_1,49
2024-09-02,Product_17,35
2015-07-10,Product_74,3
2018-07-19,Product_28,2
2016-09-07,Product_24,64
2006-04-17,Product_77,92
2016-02-05,Product_3,47
2006-04-18,Product_44,91
2017-10-05,Product_96,93
2010-05-28,Product_58,27
2020-12-23,Product_36,59
2001-01-07,Product_15,54
2003-11-08,Product_28,43
2012-08-02,Product_95,87
2002-10-11,Product_81,93
2009-05-13,Product_22,63
2003-11-29,Product_20,28
2014-06-27,Product_55,82
2017-10-27,Product_24,71
2009-05-20,Product_39,56
2009-09-17,Product_60,85
2003-02-16,Product_12,17
2007-06-13,Product_11,89
2000-11-19,Product_60,65
2024-02-12,Product_22,66
2001-08-31,Product_61,65
2023-10-17,Product_5,72
2024-03-04,Product_98,55
2007-09-22,Product_22,14
2019-12-06,Product_64,94
2015-11-15,Product_51,80
2015-07-22,Product_45,12
2004-11-25,Product_93,95
2011-08-19,Product_38,30
2016-06-20,Product_82,14
2011-11-05,Product_72,74
2006-03-26,Product_72,58
2011-01-27,Product_22,99
2018-04-23,Product_40,57
2022-11-05,Product_72,94
2022-11-13,Product_79,84
2018-05-06,Product_98,10
2012-05-18,Product_84,67
2018-02-14,Product_10,58
2013-10-09,Product_21,49
2020-08-11,Product_76,63
2009-08-30,Product_7,43
2003-06-30,Product_99,41
2010-04-27,Product_50,6
2023-07-25,Product_41,35
2012-05-02,Product_2,58
2008-12-21,Product_29,93
2018-11-30,Product_47,35
2016-05-21,Product_61,12
2023-06-30,Product_81,22
2011-06-08,Product_54,45
2009-10-01,Product_53,51
2015-06-04,Product_52,9
2022-10-08,Product_32,62
2005-10-11,Product_85,32
2012-03-22,Product_11,38
2016-08-04,Product_21,86
2023-10-11,Product_73,25
2001-10-07,Product_80,62
2009-09-23,Product_54,84
2008-04-14,Product_6,5
2001-12-17,Product_59,99
2014-05-16,Product_40,52
2016-05-21,Product_85,70
2021-03-18,Product_75,70
2016-05-17,Product_69,98
2013-08-23,Product_43,90
2021-03-31,Product_32,6
2010-01-07,Product_93,67
2009-09-15,Product_21,97
2003-06-06,Product_24,23
2012-02-29,Product_4,95
2017-03-21,Product_99,46
2018-11-30,Product_91,53
2015-04-29,Product_100,82
2011-12-31,Product_85,56
2023-05-29,Product_14,89
2012-07-26,Product_73,38
2006-05-01,Product_3,74
2003-06-07,Product_6,91
2013-01-23,Product_47,40
2003-09-12,Product_69,61
2016-11-24,Product_30,71
2013-07-12,Product_50,90
2022-10-15,Product_69,71
2023-04-19,Product_68,61
2023-09-17,Product_38,87
2023-08-24,Product_74,86
2005-09-09,Product_14,86
2006-09-09,Product_66,42
2019-04-29,Product_77,15
2010-06-21,Product_67,9
2003-03-03,Product_67,94
2023-04-29,Product_2,70
2021-08-27,Product_22,11
2016-03-31,Product_21,100
2022-05-13,Product_17,96
2001-02-14,Product_8,24
2023-08-11,Product_4,93
2008-04-24,Product_81,7
2021-01-13,Product_38,51
2018-06-27,Product_92,54
2018-08-14,Product_52,41
2005-07-13,Product_73,84
2005-04-05,Product_98,37
2023-06-01,Product_76,87
2008-03-30,Product_71,61
2021-03-10,Product_87,73
2018-08-16,Product_49,47
2016-05-05,Product_14,56
2016-08-30,Product_54,34
2015-01-07,Product_71,17
2004-02-19,Product_94,11
2015-12-26,Product_78,41
2021-08-05,Product_43,15
2022-05-29,Product_92,91
2008-09-29,Product_94,45
2024-07-15,Product_93,8
2020-09-26,Product_62,79
2017-05-17,Product_7,81
2000-08-30,Product_36,83
2005-06-13,Product_95,61
2008-05-26,Product_86,54
2013-10-23,Product_100,33
2011-11-26,Product_13,64
2000-01-01,Product_58,32
2000-09-13,Product_31,25
2000-02-27,Product_2,28
2015-07-02,Product_33,82
2009-09-07,Product_25,92
2022-08-26,Product_2,31
2019-10-11,Product_37,81
2018-09-13,Product_56,83
2009-02-23,Product_43,86
2012-08-22,Product_22,86
2009-11-16,Product_15,74
2020-09-19,Product_72,3
2016-10-26,Product_35,11
2020-06-29,Product_23,100
2001-01-16,Product_85,96
2020-04-02,Product_73,1
2007-03-11,Product_73,30
2003-05-31,Product_7,82
2012-07-04,Product_34,56
2006-06-22,Product_85,50
2015-07-15,Product_42,22
2006-03-08,Product_95,43
2000-06-04,Product_4,91
2013-03-07,Product_23,25
2014-06-16,Product_98,59
2009-05-30,Product_14,21
2013-04-15,Product_95,84
2024-09-14,Product_17,90
2003-10-27,Product_18,64
2009-04-15,Product_1,92
2008-07-22,Product_60,10
2022-04-06,Product_44,5
2006-01-29,Product_12,94
2014-06-21,Product_74,56
2014-03-29,Product_37,5
2008-01-26,Product_2,31
2020-03-31,Product_48,83
2012-06-01,Product_93,91
2011-06-25,Product_53,10
2019-02-24,Product_3,95
2014-09-03,Product_33,76
2000-04-19,Product_72,94
2014-04-16,Product_11,26
2002-10-08,Product_89,47
2013-07-28,Product_15,66
2014-07-28,Product_18,60
2020-03-10,Product_54,53
2000-04-24,Product_62,72
2022-09-10,Product_30,80
2002-07-12,Product_66,74
2000-06-04,Product_85,12
2015-09-03,Product_32,1
2013-01-27,Product_6,41
2018-06-24,Product_68,73
2013-10-08,Product_87,97
2006-10-02,Product_54,35
2002-04-14,Product_41,84
2012-10-23,Product_37,2
2007-10-21,Product_45,69
2019-08-22,Product_44,96
2002-06-16,Product_69,23
2020-08-27,Product_10,18
2002-08-31,Product_45,33
2022-08-06,Product_91,90
2006-03-10,Product_14,3
2004-06-17,Product_26,42
2012-11-16,Product_68,76
2023-02-26,Product_77,73
2016-11-06,Product_28,19
2002-01-25,Product_91,67
2021-11-14,Product_2,57
2017-08-09,Product_95,44
2018-01-25,Product_41,77
